Sector,Country,Companies
Industries agro-alimentaires ,France,NA
Industries agro-alimentaires ,Italie,NA
Industries agro-alimentaires ,Allemagne,NA
Industries agro-alimentaires ,Belgique,NA
Industries agro-alimentaires ,Autres,NA
Industries des matériaux de construction céramique et verre ,France,NA
Industries des matériaux de construction céramique et verre ,Italie,NA
Industries des matériaux de construction céramique et verre ,Allemagne,NA
Industries des matériaux de construction céramique et verre ,Belgique,NA
Industries des matériaux de construction céramique et verre ,Autres,NA
Industries mécaniques et métallurgiques ,France,NA
Industries mécaniques et métallurgiques ,Italie,NA
Industries mécaniques et métallurgiques ,Allemagne,NA
Industries mécaniques et métallurgiques ,Belgique,NA
Industries mécaniques et métallurgiques ,Autres,NA
"Industries électriques, électroniques et de l'électroménager ",France,NA
"Industries électriques, électroniques et de l'électroménager ",Italie,NA
"Industries électriques, électroniques et de l'électroménager ",Allemagne,NA
"Industries électriques, électroniques et de l'électroménager ",Belgique,NA
"Industries électriques, électroniques et de l'électroménager ",Autres,NA
Industries chimiques ,France,NA
Industries chimiques ,Italie,NA
Industries chimiques ,Allemagne,NA
Industries chimiques ,Belgique,NA
Industries chimiques ,Autres,NA
Industries textiles et habillement ,France,NA
Industries textiles et habillement ,Italie,NA
Industries textiles et habillement ,Allemagne,NA
Industries textiles et habillement ,Belgique,NA
Industries textiles et habillement ,Autres,NA
"Industries du bois, du liège et de l'ameublement ",France,NA
"Industries du bois, du liège et de l'ameublement ",Italie,NA
"Industries du bois, du liège et de l'ameublement ",Allemagne,NA
"Industries du bois, du liège et de l'ameublement ",Belgique,NA
"Industries du bois, du liège et de l'ameublement ",Autres,NA
Industries du cuir et de la chaussure ,France,NA
Industries du cuir et de la chaussure ,Italie,NA
Industries du cuir et de la chaussure ,Allemagne,NA
Industries du cuir et de la chaussure ,Belgique,NA
Industries du cuir et de la chaussure ,Autres,NA
Industries diverses ,France,NA
Industries diverses ,Italie,NA
Industries diverses ,Allemagne,NA
Industries diverses ,Belgique,NA
Industries diverses ,Autres,NA
