Sector,Country,Companies
Industries agro-alimentaires ,France,4 
Industries agro-alimentaires ,Italie,9 
Industries agro-alimentaires ,Allemagne,0 
Industries agro-alimentaires ,Belgique,0 
Industries agro-alimentaires ,Autres,13 
Industries des matériaux de construction céramique et verre ,France,2 
Industries des matériaux de construction céramique et verre ,Italie,13 
Industries des matériaux de construction céramique et verre ,Allemagne,2 
Industries des matériaux de construction céramique et verre ,Belgique,1 
Industries des matériaux de construction céramique et verre ,Autres,5 
Industries mécaniques et métallurgiques ,France,67 
Industries mécaniques et métallurgiques ,Italie,46 
Industries mécaniques et métallurgiques ,Allemagne,2 
Industries mécaniques et métallurgiques ,Belgique,2 
Industries mécaniques et métallurgiques ,Autres,27 
"Industries électriques, électroniques et de l'électroménager ",France,56 
"Industries électriques, électroniques et de l'électroménager ",Italie,52 
"Industries électriques, électroniques et de l'électroménager ",Allemagne,33 
"Industries électriques, électroniques et de l'électroménager ",Belgique,1 
"Industries électriques, électroniques et de l'électroménager ",Autres,33 
Industries chimiques ,France,54 
Industries chimiques ,Italie,30 
Industries chimiques ,Allemagne,6 
Industries chimiques ,Belgique,2 
Industries chimiques ,Autres,19 
Industries textiles et habillement ,France,200 
Industries textiles et habillement ,Italie,137 
Industries textiles et habillement ,Allemagne,49 
Industries textiles et habillement ,Belgique,47 
Industries textiles et habillement ,Autres,95 
"Industries du bois, du liège et de l'ameublement ",France,8 
"Industries du bois, du liège et de l'ameublement ",Italie,3 
"Industries du bois, du liège et de l'ameublement ",Allemagne,0 
"Industries du bois, du liège et de l'ameublement ",Belgique,2 
"Industries du bois, du liège et de l'ameublement ",Autres,4 
Industries du cuir et de la chaussure ,France,30 
Industries du cuir et de la chaussure ,Italie,47 
Industries du cuir et de la chaussure ,Allemagne,7 
Industries du cuir et de la chaussure ,Belgique,1 
Industries du cuir et de la chaussure ,Autres,15 
Industries diverses ,France,17 
Industries diverses ,Italie,8 
Industries diverses ,Allemagne,4 
Industries diverses ,Belgique,5 
Industries diverses ,Autres,15 
Total,France,438 
Total,Italie,345 
Total,Allemagne,103 
Total,Belgique,61 
Total,Autres,226
